Reactions|Direction|Left|Right
8634|=|2:16281,9|2:469,416
8635|>|1:126|1:16283
8636|=|2:43,3079|1:16284
8637|>|1:6457|1:16285
8638|=|2:163,6826|2:16286,15
8639|=|2:666,19|2:16289,71
8640|=|2:230,76|2:13,16290
8641|=|2:631,19|2:16291,71
8642|=|2:16292,2|1:16293
8643|=|2:29,14111|2:103,16295
8644|=|2:186,16296|2:103,16297
8645|=|1:16298|2:4504,10
8646|=|1:16299|1:392
8647|=|1:13393|2:267,253
8648|=|1:14586|1:16300
8649|=|1:16301|1:16303
8650|=|1:16302|1:97
8651|=|1:16305|1:16306
8652|=|1:16304|1:144
8653|=|1:16307|2:16226,33
8654|=|2:4002,1704|2:16287,13387
8655|>|1:4002|1:16288
8656|>|1:16288|1:16287
8657|>|1:16287|1:12586
8658|>|1:12586|1:16282
8659|=|1:16308|1:16309
8660|>|1:16282|1:12587
8661|=|2:4008,28|2:4010,30
8662|=|1:166|1:16310
8663|=|1:16311|1:16312
8664|=|2:16313,3|2:172,4
8665|=|2:12280,193|2:422,16314
8666|=|1:16314|2:16315,9
8667|=|2:460,253|2:16315,8
8668|=|2:94,253|2:35,9333
8669|=|2:94,16314|2:35,16316
8670|=|2:16310,9|2:256,3208
8671|>|2:3079,61|1:16317
8672|>|2:3079,16317|2:16322,55
8673|>|2:16320,7|1:16321
8674|=|1:16325|2:4723,137
8675|=|1:16327|2:16326,137
8676|=|1:15771|2:16328,16329
8677|=|1:789|2:16294,143
8678|=|2:43,4723|2:16325,15
8679|=|2:43,16326|2:16327,15
8680|=|1:8032|1:16330
8681|=|1:8031|1:16330
8682|=|1:16332|1:384
8683|=|1:4490|2:16333,13
8684|=|1:16334|2:10476,16335
8685|=|1:16336|2:36,14
8686|=|1:16338|2:16337,13
8687|=|1:333|2:16339,13
8688|=|1:9679|2:16340,13
8689|=|1:2067|2:16341,13
8690|>|1:938|1:16342
8691|>|1:938|1:16343
8692|=|1:12860|1:16320
8693|=|2:4002,28|2:4009,30
8694|>|1:4002|1:3998
8695|=|2:4002,28|2:4008,30
8696|=|1:4800|1:16345
8697|=|1:16345|1:16344
8698|=|1:4800|1:16344
8699|>|1:43|1:16346
8700|=|1:963|1:595
8701|=|1:11572|1:16350
8702|>|1:938|1:16351
8703|>|1:938|1:16352
8704|>|2:4475,1|1:9199
8705|=|2:4002,28|2:12596,30
8706|=|1:16347|1:16348
8707|=|1:16345|1:16349
8708|=|1:16353|1:16354
8709|>|1:9199|1:1272
8710|>|1:938|1:16355
8711|>|1:938|1:16356
8712|>|1:938|1:16324
8713|>|1:673|1:16357
8714|>|1:938|1:16358
8715|=|1:333|1:16338
8716|=|1:333|1:16359
8717|=|2:4002,28|2:4010,30
8718|=|1:16336|2:37,48
8719|=|1:16361|2:37,48
8720|=|1:12860|1:16363
8721|>|1:1103|1:4168
8722|=|1:3357|2:16365,33
8723|=|1:16237|2:16233,16366
8724|>|1:12691|1:4483
8725|=|1:16387|2:16323,16367
8726|>|1:16369|1:16368
8727|=|1:4363|2:13,16371
8728|=|3:12861,30,7|2:16362,28
8729|=|2:16362,30|2:12862,28
8730|=|2:1599,2|1:16373
8731|>|1:333|1:16375
8732|>|1:13519|1:16376
8733|=|2:163,16378|2:16377,15
8734|=|2:94,16379|2:35,16378
8735|=|2:94,16377|2:35,16380
8736|=|2:16371,4602|1:14768
8737|=|1:16370|1:4295
8738|=|1:16381|1:16382
8739|=|1:133|1:784
8740|=|2:70,11564|2:927,11563
8741|=|1:158|1:16383
8742|=|1:158|1:16384
8743|=|2:2718,12340|2:16385,12341
8744|>|1:938|1:16386
8745|=|1:16363|1:16364
8746|=|1:16364|1:12861
8747|>|1:12861|1:16320
8748|=|2:1729,4|2:4498,3
8749|=|2:1181,3|1:4
8750|=|1:960|1:783
8751|=|2:897,3|2:250,4
8752|=|1:86|2:493,239
8753|=|1:370|2:101,35
8754|=|2:52,16286|2:16388,15
8755|=|1:16388|1:6829
8756|=|2:52,3688|2:3745,15
8757|=|1:17012|1:17011
8758|=|2:29,6441|2:16390,15
8759|=|2:29,16390|2:16391,15
8760|=|2:29,16392|2:14068,15
8761|=|2:72,16380|1:16393
8762|>|1:12528|1:16395
8763|>|1:6665|1:16396
8764|=|2:4436,3162|2:16397,55
8765|=|2:26666,3162|2:28247,55
8766|=|2:16397,3162|2:16398,55
8767|=|2:28247,3162|2:28254,55
8768|>|1:4435|1:16399
8769|=|1:3979|1:16404
8770|>|1:3979|1:16400
8771|>|1:16400|1:16401
8772|>|1:16401|1:16402
8773|>|2:16402,44|1:16403
8774|=|2:12873,3743|2:16406,14111
8775|=|2:12873,4436|2:16405,14111
8776|>|1:852|1:16408
8777|>|2:16408,2|1:16409
8778|>|1:16409|2:16410,9
8779|>|1:16410|1:16411
8780|>|1:16411|1:47
8781|=|1:4430|1:3955
8782|=|2:4437,12873|2:16412,14111
8783|>|2:6466,7|1:16414
8784|>|1:16414|1:6460
8785|=|1:26|2:4857,1
